ESTAB,EMPSZES,NAICS2012,zipcode,year
10,1,71,37201,2013
6,212,71,37201,2013
1,220,71,37201,2013
2,230,71,37201,2013
0,241,71,37201,2013
0,242,71,37201,2013
0,251,71,37201,2013
1,252,71,37201,2013
0,254,71,37201,2013
0,260,71,37201,2013
61,1,72,37201,2013
12,212,72,37201,2013
7,220,72,37201,2013
13,230,72,37201,2013
10,241,72,37201,2013
11,242,72,37201,2013
8,251,72,37201,2013
0,252,72,37201,2013
0,254,72,37201,2013
0,260,72,37201,2013
298,1,71,37203,2013
164,212,71,37203,2013
66,220,71,37203,2013
49,230,71,37203,2013
10,241,71,37203,2013
5,242,71,37203,2013
4,251,71,37203,2013
0,252,71,37203,2013
0,254,71,37203,2013
0,260,71,37203,2013
225,1,72,37203,2013
43,212,72,37203,2013
40,220,72,37203,2013
31,230,72,37203,2013
69,241,72,37203,2013
25,242,72,37203,2013
14,251,72,37203,2013
3,252,72,37203,2013
0,254,72,37203,2013
0,260,72,37203,2013
40,1,71,37204,2013
31,212,71,37204,2013
2,220,71,37204,2013
4,230,71,37204,2013
3,241,71,37204,2013
0,242,71,37204,2013
0,251,71,37204,2013
0,252,71,37204,2013
0,254,71,37204,2013
0,260,71,37204,2013
82,1,72,37204,2013
20,212,72,37204,2013
19,220,72,37204,2013
15,230,72,37204,2013
19,241,72,37204,2013
8,242,72,37204,2013
1,251,72,37204,2013
0,252,72,37204,2013
0,254,72,37204,2013
0,260,72,37204,2013
27,1,71,37205,2013
19,212,71,37205,2013
3,220,71,37205,2013
1,230,71,37205,2013
1,241,71,37205,2013
0,242,71,37205,2013
3,251,71,37205,2013
0,252,71,37205,2013
0,254,71,37205,2013
0,260,71,37205,2013
55,1,72,37205,2013
10,212,72,37205,2013
6,220,72,37205,2013
13,230,72,37205,2013
15,241,72,37205,2013
7,242,72,37205,2013
4,251,72,37205,2013
0,252,72,37205,2013
0,254,72,37205,2013
0,260,72,37205,2013
10,1,71,37206,2013
8,212,71,37206,2013
2,220,71,37206,2013
0,230,71,37206,2013
0,241,71,37206,2013
0,242,71,37206,2013
0,251,71,37206,2013
0,252,71,37206,2013
0,254,71,37206,2013
0,260,71,37206,2013
59,1,72,37206,2013
18,212,72,37206,2013
10,220,72,37206,2013
13,230,72,37206,2013
17,241,72,37206,2013
1,242,72,37206,2013
0,251,72,37206,2013
0,252,72,37206,2013
0,254,72,37206,2013
0,260,72,37206,2013
5,1,71,37207,2013
4,212,71,37207,2013
1,220,71,37207,2013
0,230,71,37207,2013
0,241,71,37207,2013
0,242,71,37207,2013
0,251,71,37207,2013
0,252,71,37207,2013
0,254,71,37207,2013
0,260,71,37207,2013
52,1,72,37207,2013
10,212,72,37207,2013
9,220,72,37207,2013
22,230,72,37207,2013
9,241,72,37207,2013
2,242,72,37207,2013
0,251,72,37207,2013
0,252,72,37207,2013
0,254,72,37207,2013
0,260,72,37207,2013
3,1,71,37208,2013
3,212,71,37208,2013
0,220,71,37208,2013
0,230,71,37208,2013
0,241,71,37208,2013
0,242,71,37208,2013
0,251,71,37208,2013
0,252,71,37208,2013
0,254,71,37208,2013
0,260,71,37208,2013
37,1,72,37208,2013
13,212,72,37208,2013
6,220,72,37208,2013
7,230,72,37208,2013
9,241,72,37208,2013
2,242,72,37208,2013
0,251,72,37208,2013
0,252,72,37208,2013
0,254,72,37208,2013
0,260,72,37208,2013
13,1,71,37209,2013
7,212,71,37209,2013
2,220,71,37209,2013
1,230,71,37209,2013
2,241,71,37209,2013
1,242,71,37209,2013
0,251,71,37209,2013
0,252,71,37209,2013
0,254,71,37209,2013
0,260,71,37209,2013
100,1,72,37209,2013
23,212,72,37209,2013
18,220,72,37209,2013
26,230,72,37209,2013
24,241,72,37209,2013
8,242,72,37209,2013
1,251,72,37209,2013
0,252,72,37209,2013
0,254,72,37209,2013
0,260,72,37209,2013
15,1,71,37210,2013
8,212,71,37210,2013
4,220,71,37210,2013
2,230,71,37210,2013
1,241,71,37210,2013
0,242,71,37210,2013
0,251,71,37210,2013
0,252,71,37210,2013
0,254,71,37210,2013
0,260,71,37210,2013
32,1,72,37210,2013
9,212,72,37210,2013
8,220,72,37210,2013
6,230,72,37210,2013
6,241,72,37210,2013
2,242,72,37210,2013
1,251,72,37210,2013
0,252,72,37210,2013
0,254,72,37210,2013
0,260,72,37210,2013
28,1,71,37211,2013
19,212,71,37211,2013
3,220,71,37211,2013
3,230,71,37211,2013
1,241,71,37211,2013
0,242,71,37211,2013
2,251,71,37211,2013
0,252,71,37211,2013
0,254,71,37211,2013
0,260,71,37211,2013
170,1,72,37211,2013
55,212,72,37211,2013
28,220,72,37211,2013
38,230,72,37211,2013
41,241,72,37211,2013
7,242,72,37211,2013
1,251,72,37211,2013
0,252,72,37211,2013
0,254,72,37211,2013
0,260,72,37211,2013
99,1,71,37212,2013
69,212,71,37212,2013
16,220,71,37212,2013
12,230,71,37212,2013
2,241,71,37212,2013
0,242,71,37212,2013
0,251,71,37212,2013
0,252,71,37212,2013
0,254,71,37212,2013
0,260,71,37212,2013
63,1,72,37212,2013
21,212,72,37212,2013
9,220,72,37212,2013
7,230,72,37212,2013
16,241,72,37212,2013
9,242,72,37212,2013
1,251,72,37212,2013
0,252,72,37212,2013
0,254,72,37212,2013
0,260,72,37212,2013
17,1,71,37214,2013
7,212,71,37214,2013
4,220,71,37214,2013
0,230,71,37214,2013
3,241,71,37214,2013
0,242,71,37214,2013
1,251,71,37214,2013
2,252,71,37214,2013
0,254,71,37214,2013
0,260,71,37214,2013
167,1,72,37214,2013
35,212,72,37214,2013
20,220,72,37214,2013
33,230,72,37214,2013
54,241,72,37214,2013
14,242,72,37214,2013
9,251,72,37214,2013
1,252,72,37214,2013
0,254,72,37214,2013
1,260,72,37214,2013
56,1,71,37215,2013
42,212,71,37215,2013
9,220,71,37215,2013
2,230,71,37215,2013
1,241,71,37215,2013
0,242,71,37215,2013
1,251,71,37215,2013
1,252,71,37215,2013
0,254,71,37215,2013
0,260,71,37215,2013
55,1,72,37215,2013
6,212,72,37215,2013
9,220,72,37215,2013
15,230,72,37215,2013
19,241,72,37215,2013
4,242,72,37215,2013
2,251,72,37215,2013
0,252,72,37215,2013
0,254,72,37215,2013
0,260,72,37215,2013
7,1,71,37216,2013
4,212,71,37216,2013
2,220,71,37216,2013
0,230,71,37216,2013
0,241,71,37216,2013
0,242,71,37216,2013
1,251,71,37216,2013
0,252,71,37216,2013
0,254,71,37216,2013
0,260,71,37216,2013
32,1,72,37216,2013
8,212,72,37216,2013
4,220,72,37216,2013
9,230,72,37216,2013
10,241,72,37216,2013
1,242,72,37216,2013
0,251,72,37216,2013
0,252,72,37216,2013
0,254,72,37216,2013
0,260,72,37216,2013
4,1,71,37217,2013
2,212,71,37217,2013
1,220,71,37217,2013
0,230,71,37217,2013
0,241,71,37217,2013
1,242,71,37217,2013
0,251,71,37217,2013
0,252,71,37217,2013
0,254,71,37217,2013
0,260,71,37217,2013
66,1,72,37217,2013
24,212,72,37217,2013
12,220,72,37217,2013
13,230,72,37217,2013
15,241,72,37217,2013
2,242,72,37217,2013
0,251,72,37217,2013
0,252,72,37217,2013
0,254,72,37217,2013
0,260,72,37217,2013
2,1,71,37218,2013
1,212,71,37218,2013
0,220,71,37218,2013
0,230,71,37218,2013
0,241,71,37218,2013
0,242,71,37218,2013
1,251,71,37218,2013
0,252,71,37218,2013
0,254,71,37218,2013
0,260,71,37218,2013
11,1,72,37218,2013
4,212,72,37218,2013
2,220,72,37218,2013
2,230,72,37218,2013
3,241,72,37218,2013
0,242,72,37218,2013
0,251,72,37218,2013
0,252,72,37218,2013
0,254,72,37218,2013
0,260,72,37218,2013
6,1,71,37219,2013
4,212,71,37219,2013
0,220,71,37219,2013
0,230,71,37219,2013
0,241,71,37219,2013
1,242,71,37219,2013
0,251,71,37219,2013
1,252,71,37219,2013
0,254,71,37219,2013
0,260,71,37219,2013
40,1,72,37219,2013
20,212,72,37219,2013
7,220,72,37219,2013
7,230,72,37219,2013
4,241,72,37219,2013
0,242,72,37219,2013
2,251,72,37219,2013
0,252,72,37219,2013
