ESTAB,EMPSZES,NAICS2012,zipcode
11,1,71,37201]
5,212,71,37201]
1,220,71,37201]
4,230,71,37201]
0,241,71,37201]
0,242,71,37201]
0,251,71,37201]
1,252,71,37201]
0,254,71,37201]
0,260,71,37201]
306,1,71,37203]
163,212,71,37203]
70,220,71,37203]
44,230,71,37203]
19,241,71,37203]
4,242,71,37203]
6,251,71,37203]
0,252,71,37203]
0,254,71,37203]
0,260,71,37203]
46,1,71,37204]
33,212,71,37204]
8,220,71,37204]
1,230,71,37204]
4,241,71,37204]
0,242,71,37204]
0,251,71,37204]
0,252,71,37204]
0,254,71,37204]
0,260,71,37204]
25,1,71,37205]
16,212,71,37205]
3,220,71,37205]
1,230,71,37205]
2,241,71,37205]
0,242,71,37205]
3,251,71,37205]
0,252,71,37205]
0,254,71,37205]
0,260,71,37205]
15,1,71,37206]
13,212,71,37206]
2,220,71,37206]
0,230,71,37206]
0,241,71,37206]
0,242,71,37206]
0,251,71,37206]
0,252,71,37206]
0,254,71,37206]
0,260,71,37206]
5,1,71,37207]
4,212,71,37207]
1,220,71,37207]
0,230,71,37207]
0,241,71,37207]
0,242,71,37207]
0,251,71,37207]
0,252,71,37207]
0,254,71,37207]
0,260,71,37207]
3,1,71,37208]
3,212,71,37208]
0,220,71,37208]
0,230,71,37208]
0,241,71,37208]
0,242,71,37208]
0,251,71,37208]
0,252,71,37208]
0,254,71,37208]
0,260,71,37208]
14,1,71,37209]
6,212,71,37209]
3,220,71,37209]
2,230,71,37209]
1,241,71,37209]
2,242,71,37209]
0,251,71,37209]
0,252,71,37209]
0,254,71,37209]
0,260,71,37209]
16,1,71,37210]
10,212,71,37210]
3,220,71,37210]
2,230,71,37210]
0,241,71,37210]
1,242,71,37210]
0,251,71,37210]
0,252,71,37210]
0,254,71,37210]
0,260,71,37210]
24,1,71,37211]
16,212,71,37211]
1,220,71,37211]
4,230,71,37211]
1,241,71,37211]
1,242,71,37211]
1,251,71,37211]
0,252,71,37211]
0,254,71,37211]
0,260,71,37211]
106,1,71,37212]
73,212,71,37212]
16,220,71,37212]
14,230,71,37212]
2,241,71,37212]
1,242,71,37212]
0,251,71,37212]
0,252,71,37212]
0,254,71,37212]
0,260,71,37212]
18,1,71,37214]
9,212,71,37214]
3,220,71,37214]
0,230,71,37214]
3,241,71,37214]
0,242,71,37214]
2,251,71,37214]
1,252,71,37214]
0,254,71,37214]
0,260,71,37214]
55,1,71,37215]
41,212,71,37215]
9,220,71,37215]
2,230,71,37215]
1,241,71,37215]
0,242,71,37215]
2,251,71,37215]
0,252,71,37215]
0,254,71,37215]
0,260,71,37215]
6,1,71,37216]
2,212,71,37216]
3,220,71,37216]
0,230,71,37216]
0,241,71,37216]
0,242,71,37216]
1,251,71,37216]
0,252,71,37216]
0,254,71,37216]
0,260,71,37216]
5,1,71,37217]
4,212,71,37217]
0,220,71,37217]
0,230,71,37217]
0,241,71,37217]
1,242,71,37217]
0,251,71,37217]
0,252,71,37217]
0,254,71,37217]
0,260,71,37217]
2,1,71,37218]
0,212,71,37218]
1,220,71,37218]
0,230,71,37218]
0,241,71,37218]
1,242,71,37218]
0,251,71,37218]
0,252,71,37218]
0,254,71,37218]
0,260,71,37218]
9,1,71,37219]
7,212,71,37219]
0,220,71,37219]
0,230,71,37219]
0,241,71,37219]
1,242,71,37219]
0,251,71,37219]
1,252,71,37219]
0,254,71,37219]
0,260,71,37219]
9,1,71,37220]
8,212,71,37220]
0,220,71,37220]
1,230,71,37220]
0,241,71,37220]
0,242,71,37220]
0,251,71,37220]
0,252,71,37220]
0,254,71,37220]
0,260,71,37220]
13,1,71,37221]
11,212,71,37221]
1,220,71,37221]
0,230,71,37221]
0,241,71,37221]
0,242,71,37221]
1,251,71,37221]
0,252,71,37221]
0,254,71,37221]
0,260,71,37221]
62,1,72,37201]
9,212,72,37201]
6,220,72,37201]
15,230,72,37201]
12,241,72,37201]
11,242,72,37201]
9,251,72,37201]
0,252,72,37201]
0,254,72,37201]
0,260,72,37201]
237,1,72,37203]
41,212,72,37203]
40,220,72,37203]
37,230,72,37203]
68,241,72,37203]
36,242,72,37203]
12,251,72,37203]
2,252,72,37203]
1,254,72,37203]
0,260,72,37203]
85,1,72,37204]
24,212,72,37204]
14,220,72,37204]
19,230,72,37204]
19,241,72,37204]
8,242,72,37204]
1,251,72,37204]
0,252,72,37204]
0,254,72,37204]
0,260,72,37204]
54,1,72,37205]
8,212,72,37205]
6,220,72,37205]
11,230,72,37205]
18,241,72,37205]
8,242,72,37205]
3,251,72,37205]
0,252,72,37205]
0,254,72,37205]
0,260,72,37205]
68,1,72,37206]
19,212,72,37206]
10,220,72,37206]
19,230,72,37206]
18,241,72,37206]
2,242,72,37206]
0,251,72,37206]
0,252,72,37206]
0,254,72,37206]
0,260,72,37206]
58,1,72,37207]
18,212,72,37207]
6,220,72,37207]
19,230,72,37207]
13,241,72,37207]
2,242,72,37207]
0,251,72,37207]
0,252,72,37207]
0,254,72,37207]
0,260,72,37207]
43,1,72,37208]
17,212,72,37208]
7,220,72,37208]
8,230,72,37208]
10,241,72,37208]
1,242,72,37208]
0,251,72,37208]
0,252,72,37208]
0,254,72,37208]
0,260,72,37208]
99,1,72,37209]
21,212,72,37209]
16,220,72,37209]
27,230,72,37209]
28,241,72,37209]
4,242,72,37209]
3,251,72,37209]
0,252,72,37209]
0,254,72,37209]
0,260,72,37209]
33,1,72,37210]
10,212,72,37210]
8,220,72,37210]
4,230,72,37210]
8,241,72,37210]
2,242,72,37210]
1,251,72,37210]
0,252,72,37210]
0,254,72,37210]
0,260,72,37210]
180,1,72,37211]
63,212,72,37211]
24,220,72,37211]
37,230,72,37211]
47,241,72,37211]
8,242,72,37211]
1,251,72,37211]
0,252,72,37211]
0,254,72,37211]
0,260,72,37211]
68,1,72,37212]
16,212,72,37212]
7,220,72,37212]
13,230,72,37212]
24,241,72,37212]
7,242,72,37212]
1,251,72,37212]
0,252,72,37212]
0,254,72,37212]
0,260,72,37212]
172,1,72,37214]
42,212,72,37214]
18,220,72,37214]
31,230,72,37214]
58,241,72,37214]
13,242,72,37214]
9,251,72,37214]
0,252,72,37214]
0,254,72,37214]
1,260,72,37214]
53,1,72,37215]
7,212,72,37215]
8,220,72,37215]
11,230,72,37215]
22,241,72,37215]
4,242,72,37215]
0,251,72,37215]
1,252,72,37215]
0,254,72,37215]
0,260,72,37215]
29,1,72,37216]
4,212,72,37216]
4,220,72,37216]
5,230,72,37216]
14,241,72,37216]
2,242,72,37216]
0,251,72,37216]
0,252,72,37216]
0,254,72,37216]
0,260,72,37216]
66,1,72,37217]
25,212,72,37217]
10,220,72,37217]
12,230,72,37217]
17,241,72,37217]
2,242,72,37217]
0,251,72,37217]
0,252,72,37217]
0,254,72,37217]
0,260,72,37217]
13,1,72,37218]
5,212,72,37218]
2,220,72,37218]
3,230,72,37218]
3,241,72,37218]
0,242,72,37218]
0,251,72,37218]
0,252,72,37218]
0,254,72,37218]
0,260,72,37218]
41,1,72,37219]
18,212,72,37219]
9,220,72,37219]
8,230,72,37219]
4,241,72,37219]
0,242,72,37219]
2,251,72,37219]
0,252,72,37219]
0,254,72,37219]
0,260,72,37219]
7,1,72,37220]
4,212,72,37220]
1,220,72,37220]
0,230,72,37220]
2,241,72,37220]
0,242,72,37220]
0,251,72,37220]
0,252,72,37220]
0,254,72,37220]
0,260,72,37220]
73,1,72,37221]
15,212,72,37221]
5,220,72,37221]
22,230,72,37221]
27,241,72,37221]
3,242,72,37221]
1,251,72,37221]
0,252,72,37221]
0,254,72,37221]
0,260,72,37221]
