"[[""SIC_TTL""",ESTAB,EMPSZES,SIC,zipcode]
"[""SERVICES""",203,1,70,37201]
"[""SERVICES""",132,212,70,37201]
"[""SERVICES""",35,220,70,37201]
"[""SERVICES""",20,230,70,37201]
"[""SERVICES""",7,241,70,37201]
"[""SERVICES""",4,242,70,37201]
"[""SERVICES""",3,251,70,37201]
"[""SERVICES""",1,252,70,37201]
"[""SERVICES""",1,254,70,37201]
"[""SERVICES""",0,260,70,37201]
"[""SERVICES""",1240,1,70,37203]
"[""SERVICES""",668,212,70,37203]
"[""SERVICES""",226,220,70,37203]
"[""SERVICES""",160,230,70,37203]
"[""SERVICES""",110,241,70,37203]
"[""SERVICES""",43,242,70,37203]
"[""SERVICES""",25,251,70,37203]
"[""SERVICES""",6,252,70,37203]
"[""SERVICES""",1,254,70,37203]
"[""SERVICES""",1,260,70,37203]
"[""SERVICES""",226,1,70,37204]
"[""SERVICES""",132,212,70,37204]
"[""SERVICES""",43,220,70,37204]
"[""SERVICES""",24,230,70,37204]
"[""SERVICES""",20,241,70,37204]
"[""SERVICES""",5,242,70,37204]
"[""SERVICES""",2,251,70,37204]
"[""SERVICES""",0,252,70,37204]
"[""SERVICES""",0,254,70,37204]
"[""SERVICES""",0,260,70,37204]
"[""SERVICES""",382,1,70,37205]
"[""SERVICES""",237,212,70,37205]
"[""SERVICES""",44,220,70,37205]
"[""SERVICES""",44,230,70,37205]
"[""SERVICES""",32,241,70,37205]
"[""SERVICES""",15,242,70,37205]
"[""SERVICES""",7,251,70,37205]
"[""SERVICES""",1,252,70,37205]
"[""SERVICES""",1,254,70,37205]
"[""SERVICES""",1,260,70,37205]
"[""SERVICES""",156,1,70,37206]
"[""SERVICES""",92,212,70,37206]
"[""SERVICES""",28,220,70,37206]
"[""SERVICES""",21,230,70,37206]
"[""SERVICES""",9,241,70,37206]
"[""SERVICES""",3,242,70,37206]
"[""SERVICES""",3,251,70,37206]
"[""SERVICES""",0,252,70,37206]
"[""SERVICES""",0,254,70,37206]
"[""SERVICES""",0,260,70,37206]
"[""SERVICES""",174,1,70,37207]
"[""SERVICES""",94,212,70,37207]
"[""SERVICES""",31,220,70,37207]
"[""SERVICES""",28,230,70,37207]
"[""SERVICES""",12,241,70,37207]
"[""SERVICES""",7,242,70,37207]
"[""SERVICES""",2,251,70,37207]
"[""SERVICES""",0,252,70,37207]
"[""SERVICES""",0,254,70,37207]
"[""SERVICES""",0,260,70,37207]
"[""SERVICES""",115,1,70,37208]
"[""SERVICES""",68,212,70,37208]
"[""SERVICES""",25,220,70,37208]
"[""SERVICES""",12,230,70,37208]
"[""SERVICES""",6,241,70,37208]
"[""SERVICES""",1,242,70,37208]
"[""SERVICES""",0,251,70,37208]
"[""SERVICES""",2,252,70,37208]
"[""SERVICES""",0,254,70,37208]
"[""SERVICES""",1,260,70,37208]
"[""SERVICES""",231,1,70,37209]
"[""SERVICES""",124,212,70,37209]
"[""SERVICES""",44,220,70,37209]
"[""SERVICES""",41,230,70,37209]
"[""SERVICES""",15,241,70,37209]
"[""SERVICES""",3,242,70,37209]
"[""SERVICES""",2,251,70,37209]
"[""SERVICES""",1,252,70,37209]
"[""SERVICES""",0,254,70,37209]
"[""SERVICES""",1,260,70,37209]
"[""SERVICES""",299,1,70,37210]
"[""SERVICES""",137,212,70,37210]
"[""SERVICES""",64,220,70,37210]
"[""SERVICES""",48,230,70,37210]
"[""SERVICES""",33,241,70,37210]
"[""SERVICES""",7,242,70,37210]
"[""SERVICES""",6,251,70,37210]
"[""SERVICES""",2,252,70,37210]
"[""SERVICES""",2,254,70,37210]
"[""SERVICES""",0,260,70,37210]
"[""SERVICES""",570,1,70,37211]
"[""SERVICES""",282,212,70,37211]
"[""SERVICES""",118,220,70,37211]
"[""SERVICES""",77,230,70,37211]
"[""SERVICES""",58,241,70,37211]
"[""SERVICES""",18,242,70,37211]
"[""SERVICES""",13,251,70,37211]
"[""SERVICES""",2,252,70,37211]
"[""SERVICES""",2,254,70,37211]
"[""SERVICES""",0,260,70,37211]
"[""SERVICES""",529,1,70,37212]
"[""SERVICES""",329,212,70,37212]
"[""SERVICES""",105,220,70,37212]
"[""SERVICES""",51,230,70,37212]
"[""SERVICES""",26,241,70,37212]
"[""SERVICES""",9,242,70,37212]
"[""SERVICES""",7,251,70,37212]
"[""SERVICES""",0,252,70,37212]
"[""SERVICES""",1,254,70,37212]
"[""SERVICES""",1,260,70,37212]
"[""SERVICES""",363,1,70,37214]
"[""SERVICES""",168,212,70,37214]
"[""SERVICES""",62,220,70,37214]
"[""SERVICES""",61,230,70,37214]
"[""SERVICES""",37,241,70,37214]
"[""SERVICES""",16,242,70,37214]
"[""SERVICES""",11,251,70,37214]
"[""SERVICES""",3,252,70,37214]
"[""SERVICES""",3,254,70,37214]
"[""SERVICES""",2,260,70,37214]
"[""SERVICES""",382,1,70,37215]
"[""SERVICES""",225,212,70,37215]
"[""SERVICES""",73,220,70,37215]
"[""SERVICES""",45,230,70,37215]
"[""SERVICES""",24,241,70,37215]
"[""SERVICES""",8,242,70,37215]
"[""SERVICES""",5,251,70,37215]
"[""SERVICES""",0,252,70,37215]
"[""SERVICES""",1,254,70,37215]
"[""SERVICES""",1,260,70,37215]
"[""SERVICES""",86,1,70,37216]
"[""SERVICES""",53,212,70,37216]
"[""SERVICES""",18,220,70,37216]
"[""SERVICES""",8,230,70,37216]
"[""SERVICES""",6,241,70,37216]
"[""SERVICES""",1,242,70,37216]
"[""SERVICES""",0,251,70,37216]
"[""SERVICES""",0,252,70,37216]
"[""SERVICES""",0,254,70,37216]
"[""SERVICES""",0,260,70,37216]
"[""SERVICES""",305,1,70,37217]
"[""SERVICES""",149,212,70,37217]
"[""SERVICES""",48,220,70,37217]
"[""SERVICES""",28,230,70,37217]
"[""SERVICES""",41,241,70,37217]
"[""SERVICES""",24,242,70,37217]
"[""SERVICES""",11,251,70,37217]
"[""SERVICES""",2,252,70,37217]
"[""SERVICES""",2,254,70,37217]
"[""SERVICES""",0,260,70,37217]
"[""SERVICES""",50,1,70,37218]
"[""SERVICES""",25,212,70,37218]
"[""SERVICES""",15,220,70,37218]
"[""SERVICES""",3,230,70,37218]
"[""SERVICES""",3,241,70,37218]
"[""SERVICES""",2,242,70,37218]
"[""SERVICES""",1,251,70,37218]
"[""SERVICES""",0,252,70,37218]
"[""SERVICES""",1,254,70,37218]
"[""SERVICES""",0,260,70,37218]
"[""SERVICES""",222,1,70,37219]
"[""SERVICES""",126,212,70,37219]
"[""SERVICES""",30,220,70,37219]
"[""SERVICES""",28,230,70,37219]
"[""SERVICES""",21,241,70,37219]
"[""SERVICES""",12,242,70,37219]
"[""SERVICES""",4,251,70,37219]
"[""SERVICES""",1,252,70,37219]
"[""SERVICES""",0,254,70,37219]
"[""SERVICES""",0,260,70,37219]
"[""SERVICES""",81,1,70,37220]
"[""SERVICES""",48,212,70,37220]
"[""SERVICES""",14,220,70,37220]
"[""SERVICES""",9,230,70,37220]
"[""SERVICES""",4,241,70,37220]
"[""SERVICES""",4,242,70,37220]
"[""SERVICES""",2,251,70,37220]
"[""SERVICES""",0,252,70,37220]
"[""SERVICES""",0,254,70,37220]
"[""SERVICES""",0,260,70,37220]
"[""SERVICES""",181,1,70,37221]
"[""SERVICES""",126,212,70,37221]
"[""SERVICES""",27,220,70,37221]
"[""SERVICES""",16,230,70,37221]
"[""SERVICES""",8,241,70,37221]
"[""SERVICES""",2,242,70,37221]
"[""SERVICES""",1,251,70,37221]
"[""SERVICES""",1,252,70,37221]
"[""SERVICES""",0,254,70,37221]
"[""SERVICES""",0,260,70,37221]]
