ESTAB,EMPSZES,SIC,zipcode
211,1,70,37201]
144,212,70,37201]
32,220,70,37201]
20,230,70,37201]
7,241,70,37201]
2,242,70,37201]
4,251,70,37201]
1,252,70,37201]
1,254,70,37201]
0,260,70,37201]
1265,1,70,37203]
640,212,70,37203]
264,220,70,37203]
160,230,70,37203]
107,241,70,37203]
52,242,70,37203]
32,251,70,37203]
6,252,70,37203]
2,254,70,37203]
2,260,70,37203]
247,1,70,37204]
155,212,70,37204]
38,220,70,37204]
24,230,70,37204]
19,241,70,37204]
6,242,70,37204]
5,251,70,37204]
0,252,70,37204]
0,254,70,37204]
0,260,70,37204]
388,1,70,37205]
238,212,70,37205]
46,220,70,37205]
45,230,70,37205]
34,241,70,37205]
16,242,70,37205]
6,251,70,37205]
2,252,70,37205]
0,254,70,37205]
1,260,70,37205]
149,1,70,37206]
91,212,70,37206]
24,220,70,37206]
20,230,70,37206]
9,241,70,37206]
2,242,70,37206]
2,251,70,37206]
1,252,70,37206]
0,254,70,37206]
0,260,70,37206]
176,1,70,37207]
91,212,70,37207]
48,220,70,37207]
17,230,70,37207]
16,241,70,37207]
2,242,70,37207]
2,251,70,37207]
0,252,70,37207]
0,254,70,37207]
0,260,70,37207]
115,1,70,37208]
65,212,70,37208]
27,220,70,37208]
14,230,70,37208]
5,241,70,37208]
0,242,70,37208]
3,251,70,37208]
0,252,70,37208]
0,254,70,37208]
1,260,70,37208]
238,1,70,37209]
131,212,70,37209]
51,220,70,37209]
26,230,70,37209]
23,241,70,37209]
2,242,70,37209]
3,251,70,37209]
1,252,70,37209]
0,254,70,37209]
1,260,70,37209]
283,1,70,37210]
133,212,70,37210]
60,220,70,37210]
44,230,70,37210]
33,241,70,37210]
4,242,70,37210]
5,251,70,37210]
2,252,70,37210]
2,254,70,37210]
0,260,70,37210]
562,1,70,37211]
285,212,70,37211]
99,220,70,37211]
77,230,70,37211]
67,241,70,37211]
18,242,70,37211]
11,251,70,37211]
3,252,70,37211]
2,254,70,37211]
0,260,70,37211]
566,1,70,37212]
345,212,70,37212]
106,220,70,37212]
65,230,70,37212]
29,241,70,37212]
12,242,70,37212]
6,251,70,37212]
0,252,70,37212]
2,254,70,37212]
1,260,70,37212]
376,1,70,37214]
173,212,70,37214]
57,220,70,37214]
72,230,70,37214]
40,241,70,37214]
16,242,70,37214]
10,251,70,37214]
3,252,70,37214]
2,254,70,37214]
3,260,70,37214]
399,1,70,37215]
240,212,70,37215]
71,220,70,37215]
50,230,70,37215]
27,241,70,37215]
3,242,70,37215]
7,251,70,37215]
0,252,70,37215]
0,254,70,37215]
1,260,70,37215]
85,1,70,37216]
46,212,70,37216]
20,220,70,37216]
11,230,70,37216]
7,241,70,37216]
1,242,70,37216]
0,251,70,37216]
0,252,70,37216]
0,254,70,37216]
0,260,70,37216]
319,1,70,37217]
159,212,70,37217]
49,220,70,37217]
34,230,70,37217]
36,241,70,37217]
21,242,70,37217]
13,251,70,37217]
6,252,70,37217]
1,254,70,37217]
0,260,70,37217]
52,1,70,37218]
32,212,70,37218]
8,220,70,37218]
6,230,70,37218]
1,241,70,37218]
2,242,70,37218]
2,251,70,37218]
0,252,70,37218]
1,254,70,37218]
0,260,70,37218]
225,1,70,37219]
120,212,70,37219]
39,220,70,37219]
20,230,70,37219]
27,241,70,37219]
10,242,70,37219]
8,251,70,37219]
1,252,70,37219]
0,254,70,37219]
0,260,70,37219]
85,1,70,37220]
50,212,70,37220]
16,220,70,37220]
10,230,70,37220]
4,241,70,37220]
3,242,70,37220]
2,251,70,37220]
0,252,70,37220]
0,254,70,37220]
0,260,70,37220]
199,1,70,37221]
132,212,70,37221]
32,220,70,37221]
20,230,70,37221]
11,241,70,37221]
2,242,70,37221]
2,251,70,37221]
0,252,70,37221]
0,254,70,37221]
0,260,70,37221]
