ESTAB,EMPSZES,zipcode
45,1,37201]
15,212,37201]
2,220,37201]
11,230,37201]
5,241,37201]
10,242,37201]
2,251,37201]
0,252,37201]
0,254,37201]
0,260,37201]
308,1,37203]
120,212,37203]
51,220,37203]
59,230,37203]
50,241,37203]
21,242,37203]
6,251,37203]
0,252,37203]
1,254,37203]
0,260,37203]
72,1,37204]
29,212,37204]
14,220,37204]
16,230,37204]
10,241,37204]
1,242,37204]
1,251,37204]
0,252,37204]
1,254,37204]
0,260,37204]
70,1,37205]
31,212,37205]
6,220,37205]
12,230,37205]
11,241,37205]
6,242,37205]
4,251,37205]
0,252,37205]
0,254,37205]
0,260,37205]
23,1,37206]
11,212,37206]
3,220,37206]
5,230,37206]
4,241,37206]
0,242,37206]
0,251,37206]
0,252,37206]
0,254,37206]
0,260,37206]
60,1,37207]
18,212,37207]
7,220,37207]
15,230,37207]
19,241,37207]
1,242,37207]
0,251,37207]
0,252,37207]
0,254,37207]
0,260,37207]
22,1,37208]
6,212,37208]
5,220,37208]
7,230,37208]
4,241,37208]
0,242,37208]
0,251,37208]
0,252,37208]
0,254,37208]
0,260,37208]
62,1,37209]
16,212,37209]
9,220,37209]
12,230,37209]
20,241,37209]
4,242,37209]
1,251,37209]
0,252,37209]
0,254,37209]
0,260,37209]
46,1,37210]
20,212,37210]
7,220,37210]
13,230,37210]
5,241,37210]
0,242,37210]
0,251,37210]
1,252,37210]
0,254,37210]
0,260,37210]
126,1,37211]
31,212,37211]
17,220,37211]
34,230,37211]
37,241,37211]
7,242,37211]
0,251,37211]
0,252,37211]
0,254,37211]
0,260,37211]
194,1,37212]
109,212,37212]
30,220,37212]
29,230,37212]
18,241,37212]
6,242,37212]
2,251,37212]
0,252,37212]
0,254,37212]
0,260,37212]
11,1,37213]
4,212,37213]
0,220,37213]
2,230,37213]
5,241,37213]
0,242,37213]
0,251,37213]
0,252,37213]
0,254,37213]
0,260,37213]
143,1,37214]
28,212,37214]
19,220,37214]
37,230,37214]
37,241,37214]
13,242,37214]
5,251,37214]
2,252,37214]
1,254,37214]
1,260,37214]
89,1,37215]
43,212,37215]
9,220,37215]
12,230,37215]
17,241,37215]
5,242,37215]
3,251,37215]
0,252,37215]
0,254,37215]
0,260,37215]
24,1,37216]
11,212,37216]
0,220,37216]
3,230,37216]
9,241,37216]
1,242,37216]
0,251,37216]
0,252,37216]
0,254,37216]
0,260,37216]
95,1,37217]
36,212,37217]
10,220,37217]
12,230,37217]
31,241,37217]
5,242,37217]
1,251,37217]
0,252,37217]
0,254,37217]
0,260,37217]
12,1,37218]
4,212,37218]
1,220,37218]
5,230,37218]
2,241,37218]
0,242,37218]
0,251,37218]
0,252,37218]
0,254,37218]
0,260,37218]
40,1,37219]
13,212,37219]
13,220,37219]
5,230,37219]
3,241,37219]
1,242,37219]
4,251,37219]
1,252,37219]
0,254,37219]
0,260,37219]
13,1,37220]
5,212,37220]
3,220,37220]
2,230,37220]
3,241,37220]
0,242,37220]
0,251,37220]
0,252,37220]
0,254,37220]
0,260,37220]
65,1,37221]
25,212,37221]
11,220,37221]
12,230,37221]
14,241,37221]
2,242,37221]
1,251,37221]
0,252,37221]
0,254,37221]
0,260,37221]
NA,1,37228]
NA,212,37228]
NA,220,37228]
NA,230,37228]
NA,241,37228]
NA,242,37228]
NA,251,37228]
NA,252,37228]
NA,254,37228]
NA,260,37228]
