ESTAB,EMPSZES,NAICS2002,zipcode
4,1,71,37201]
2,212,71,37201]
0,220,71,37201]
1,230,71,37201]
1,241,71,37201]
0,242,71,37201]
0,251,71,37201]
0,252,71,37201]
0,254,71,37201]
0,260,71,37201]
179,1,71,37203]
102,212,71,37203]
36,220,71,37203]
22,230,71,37203]
11,241,71,37203]
4,242,71,37203]
4,251,71,37203]
0,252,71,37203]
0,254,71,37203]
0,260,71,37203]
24,1,71,37204]
19,212,71,37204]
2,220,71,37204]
1,230,71,37204]
2,241,71,37204]
0,242,71,37204]
0,251,71,37204]
0,252,71,37204]
0,254,71,37204]
0,260,71,37204]
22,1,71,37205]
12,212,71,37205]
3,220,71,37205]
2,230,71,37205]
1,241,71,37205]
3,242,71,37205]
1,251,71,37205]
0,252,71,37205]
0,254,71,37205]
0,260,71,37205]
3,1,71,37206]
2,212,71,37206]
0,220,71,37206]
1,230,71,37206]
0,241,71,37206]
0,242,71,37206]
0,251,71,37206]
0,252,71,37206]
0,254,71,37206]
0,260,71,37206]
7,1,71,37207]
3,212,71,37207]
3,220,71,37207]
1,230,71,37207]
0,241,71,37207]
0,242,71,37207]
0,251,71,37207]
0,252,71,37207]
0,254,71,37207]
0,260,71,37207]
11,1,71,37209]
7,212,71,37209]
1,220,71,37209]
2,230,71,37209]
1,241,71,37209]
0,242,71,37209]
0,251,71,37209]
0,252,71,37209]
0,254,71,37209]
0,260,71,37209]
14,1,71,37210]
11,212,71,37210]
1,220,71,37210]
2,230,71,37210]
0,241,71,37210]
0,242,71,37210]
0,251,71,37210]
0,252,71,37210]
0,254,71,37210]
0,260,71,37210]
23,1,71,37211]
14,212,71,37211]
2,220,71,37211]
1,230,71,37211]
4,241,71,37211]
2,242,71,37211]
0,251,71,37211]
0,252,71,37211]
0,254,71,37211]
0,260,71,37211]
164,1,71,37212]
102,212,71,37212]
35,220,71,37212]
21,230,71,37212]
6,241,71,37212]
0,242,71,37212]
0,251,71,37212]
0,252,71,37212]
0,254,71,37212]
0,260,71,37212]
23,1,71,37214]
12,212,71,37214]
1,220,71,37214]
5,230,71,37214]
1,241,71,37214]
1,242,71,37214]
3,251,71,37214]
0,252,71,37214]
0,254,71,37214]
0,260,71,37214]
28,1,71,37215]
22,212,71,37215]
1,220,71,37215]
0,230,71,37215]
2,241,71,37215]
0,242,71,37215]
2,251,71,37215]
1,252,71,37215]
0,254,71,37215]
0,260,71,37215]
5,1,71,37216]
4,212,71,37216]
0,220,71,37216]
0,230,71,37216]
0,241,71,37216]
1,242,71,37216]
0,251,71,37216]
0,252,71,37216]
0,254,71,37216]
0,260,71,37216]
6,1,71,37217]
2,212,71,37217]
1,220,71,37217]
1,230,71,37217]
2,241,71,37217]
0,242,71,37217]
0,251,71,37217]
0,252,71,37217]
0,254,71,37217]
0,260,71,37217]
2,1,71,37218]
1,212,71,37218]
0,220,71,37218]
0,230,71,37218]
1,241,71,37218]
0,242,71,37218]
0,251,71,37218]
0,252,71,37218]
0,254,71,37218]
0,260,71,37218]
8,1,71,37219]
5,212,71,37219]
0,220,71,37219]
0,230,71,37219]
1,241,71,37219]
0,242,71,37219]
1,251,71,37219]
1,252,71,37219]
0,254,71,37219]
0,260,71,37219]
8,1,71,37220]
4,212,71,37220]
2,220,71,37220]
1,230,71,37220]
1,241,71,37220]
0,242,71,37220]
0,251,71,37220]
0,252,71,37220]
0,254,71,37220]
