measure_Id	number	implicit	width	part_Id		grace	chord	rest	note_Id	duration	voice	type	dot	accidental	stem	staff	default-x	default-y	measure_Id		step	alter	octave	note_Id
0	0	yes	142.67	0					0	60	1	quarter			up	1	78.29	-40	0		E		4	0
1	1		216.08	0					1	60	5	quarter				2			0		A		4	2
2	2		216.44	0					2	30	1	eighth			up	1	12	-25	1		B		4	3
3	3		239.41	0					3	30	1	eighth			up	1	50.94	-20	1		C		5	4
4	4		241.89	0					4	60	1	quarter			down	1	89.88	-15	1		C		5	5
5	5		284.57	0					5	60	1	quarter			down	1	152.18	-15	1		A		1	6
6	6		255.68	0					6	60	5	quarter			up	2	12	-175	1		A		3	7
7	7		278.65	0					7	60	5	quarter			down	2	89.88	-105	1		C		4	8
8	8		237.59	0					8	60	5	quarter			down	2	89.88	-95	1		E		4	9
9	9		273.69	0					9	60	5	quarter			down	2	89.88	-85	1		A		3	10
10	10		244.8	0					10	60	5	quarter			down	2	152.18	-105	1		C		4	11
11	11		267.77	0					11	60	5	quarter			down	2	152.18	-95	1		E		4	12
12	12		270.24	0					12	60	5	quarter			down	2	152.18	-85	1		D		5	13
13	13		267.82	0					13	30	1	eighth			down	1	12	-10	2		E		5	14
14	14		255.21	0					14	30	1	eighth			down	1	51.01	-5	2		F		5	15
15	15		289.29	0					15	120	1	half			down	1	89.65	0	2		D		2	16
16	16		244.18	0					16	60	5	quarter			up	2	12	-160	2		A		3	17
17	17		330.43	0					17	60	5	quarter			down	2	90.02	-105	2		D		4	18
18	18		252.48	0					18	60	5	quarter			down	2	90.02	-90	2		F		4	19
19	19		251.9	0					19	60	5	quarter			down	2	90.02	-80	2		A		3	20
20	20		221.68	0					20	60	5	quarter			down	2	152.43	-105	2		D		4	21
21	21		359.57	0					21	60	5	quarter			down	2	152.43	-90	2		F		4	22
22	22		243.71	0					22	60	5	quarter			down	2	152.43	-80	2		B		4	23
23	23		251.13	0					23	30	1	eighth			down	1	12	-20	3		C		5	24
24	24		202.08	0					24	30	1	eighth			down	1	49.64	-15	3		D		5	25
25	25		282.17	0					25	30	1	eighth			down	1	87.27	-10	3		A		5	26
26	26		241.97	0					26	30	1	eighth			down	1	124.91	10	3		G		5	27
27	27		264.94	0					27	30	1	eighth			down	1	162.54	5	3		F		5	28
28	28		267.41	0					28	30	1	eighth			down	1	200.18	0	3		G		2	29
29	29		279.69	0					29	60	5	quarter			up	2	12	-145	3		G		3	30
30	30		250.8	0					30	60	5	quarter			down	2	87.27	-110	3		B		3	31
31	31		277.72	0					31	60	5	quarter			down	2	87.27	-100	3		F		4	32
32	32		248.3	0					32	60	5	quarter			down	2	87.27	-80	3		G		3	33
33	33		306.8	0					33	60	5	quarter			down	2	162.54	-110	3		B		3	34
34	34		265.56	0					34	60	5	quarter			down	2	162.54	-100	3		F		4	35
35	35		239.94	0					35	60	5	quarter			down	2	162.54	-80	3		E		5	36
36	36		244.19	0					36		1	16th			up	1	7.75	-5	4		F		5	37
37	37		308.17	0					37		1	16th			up	1	18.72	0	4		E		5	38
38	38		266.94	0					38	30	1	eighth			down	1	30.43	-5	4		D	1	5	39
39	39		272.4	0					39	30	1	eighth		sharp	down	1	70.79	-10	4		E		5	40
40	40		208.98	0					40	120	1	half			down	1	110.79	-5	4		C		3	41
41	41		273.69	0					41	60	5	quarter			up	2	30.43	-130	4		G		3	42
42	42		244.8	0					42	60	5	quarter			down	2	111.15	-110	4		C		4	43
43	43		267.77	0					43	60	5	quarter			down	2	111.15	-95	4		E		4	44
44	44		270.24	0					44	60	5	quarter			down	2	111.15	-85	4		G		3	45
45	45		284.57	0					45	60	5	quarter			down	2	175.72	-110	4		C		4	46
46	46		255.68	0					46	60	5	quarter			down	2	175.72	-95	4		E		4	47
47	47		278.65	0					47	60	5	quarter			down	2	175.72	-85	4		A		4	48
48	48		237.59	0					48	30	1	eighth			up	1	51.25	-25	5		B		4	49
49	49		276.93	0					49	30	1	eighth			up	1	95.81	-20	5		C		5	50
50	50		248.03	0					50	60	1	quarter			down	1	140.38	-15	5		C		5	51
51	51		294.53	0					51	60	1	quarter			down	1	211.67	-15	5		A		2	52
52	52		237.01	0					52	60	5	quarter			up	2	51.25	-140	5		A		3	53
53	53		296.86	0					53	60	5	quarter			down	2	140.38	-105	5		C		4	54
54	54		270.27	0					54	60	5	quarter			down	2	140.38	-95	5		E		4	55
55	55		270.02	0					55	60	5	quarter			down	2	140.38	-85	5		A		3	56
