notations_Id,note_Id
0,0
1,4
2,13
3,15
4,23
5,28
6,38
7,40
8,48
9,50
10,69
11,82
12,90
13,92
14,101
15,103
16,111
17,116
18,126
19,128
20,136
21,138
22,147
23,149
24,177
25,195
26,206
27,210
28,220
29,224
30,232
31,234
32,235
33,239
34,241
35,251
36,254
37,265
38,277
39,286
40,288
41,297
42,299
43,307
44,312
45,322
46,324
47,372
48,385
49,390
50,398
51,404
52,412
53,418
54,426
55,439
56,444
57,452
58,467
59,474
60,476
61,485
62,487
63,495
64,500
65,510
66,512
67,520
68,522
69,531
70,533
71,541
72,554
73,561
74,563
75,572
76,574
77,583
78,595
79,605
80,620
81,626
