grace,chord,rest,note_Id,duration,voice,type,dot,accidental,stem,staff,default-x,default-y,measure_Id
"","","",0,"60","1","quarter","","","up","1","78.29","-40.00",0
"","","",1,"60","5","quarter","","","","2","","",0
"","","",2,"30","1","eighth","","","up","1","12.00","-25.00",1
"","","",3,"30","1","eighth","","","up","1","50.94","-20.00",1
"","","",4,"60","1","quarter","","","down","1","89.88","-15.00",1
"","","",5,"60","1","quarter","","","down","1","152.18","-15.00",1
"","","",6,"60","5","quarter","","","up","2","12.00","-175.00",1
"","","",7,"60","5","quarter","","","down","2","89.88","-105.00",1
"","","",8,"60","5","quarter","","","down","2","89.88","-95.00",1
"","","",9,"60","5","quarter","","","down","2","89.88","-85.00",1
"","","",10,"60","5","quarter","","","down","2","152.18","-105.00",1
"","","",11,"60","5","quarter","","","down","2","152.18","-95.00",1
"","","",12,"60","5","quarter","","","down","2","152.18","-85.00",1
"","","",13,"30","1","eighth","","","down","1","12.00","-10.00",2
"","","",14,"30","1","eighth","","","down","1","51.01","-5.00",2
"","","",15,"120","1","half","","","down","1","89.65","0.00",2
"","","",16,"60","5","quarter","","","up","2","12.00","-160.00",2
"","","",17,"60","5","quarter","","","down","2","90.02","-105.00",2
"","","",18,"60","5","quarter","","","down","2","90.02","-90.00",2
"","","",19,"60","5","quarter","","","down","2","90.02","-80.00",2
"","","",20,"60","5","quarter","","","down","2","152.43","-105.00",2
"","","",21,"60","5","quarter","","","down","2","152.43","-90.00",2
"","","",22,"60","5","quarter","","","down","2","152.43","-80.00",2
"","","",23,"30","1","eighth","","","down","1","12.00","-20.00",3
"","","",24,"30","1","eighth","","","down","1","49.64","-15.00",3
"","","",25,"30","1","eighth","","","down","1","87.27","-10.00",3
"","","",26,"30","1","eighth","","","down","1","124.91","10.00",3
"","","",27,"30","1","eighth","","","down","1","162.54","5.00",3
"","","",28,"30","1","eighth","","","down","1","200.18","0.00",3
"","","",29,"60","5","quarter","","","up","2","12.00","-145.00",3
"","","",30,"60","5","quarter","","","down","2","87.27","-110.00",3
"","","",31,"60","5","quarter","","","down","2","87.27","-100.00",3
"","","",32,"60","5","quarter","","","down","2","87.27","-80.00",3
"","","",33,"60","5","quarter","","","down","2","162.54","-110.00",3
"","","",34,"60","5","quarter","","","down","2","162.54","-100.00",3
"","","",35,"60","5","quarter","","","down","2","162.54","-80.00",3
"","","",36,"","1","16th","","","up","1","7.75","-5.00",4
"","","",37,"","1","16th","","","up","1","18.72","0.00",4
"","","",38,"30","1","eighth","","","down","1","30.43","-5.00",4
"","","",39,"30","1","eighth","","sharp","down","1","70.79","-10.00",4
"","","",40,"120","1","half","","","down","1","110.79","-5.00",4
