type,number,placement,notations_Id
"start","1","",0
"stop","1","",1
"start","1","",2
"stop","1","",3
"start","1","",4
"stop","1","",5
"start","1","",6
"stop","1","",7
"start","1","",8
"stop","1","",9
"start","1","",10
"stop","1","",11
"start","1","",12
"stop","1","",13
"start","1","",14
"stop","1","",15
"start","1","",16
"stop","1","",17
"start","1","",18
"stop","1","",19
"start","1","",20
"stop","1","",21
"start","1","",22
"stop","1","",23
"start","1","",24
"stop","1","",25
"start","1","",26
"stop","1","",27
"start","1","",28
"stop","1","",29
"start","1","",30
"stop","1","",34
"start","1","",35
"stop","1","",36
"start","1","",37
"stop","1","",38
"start","1","",39
"stop","1","",40
"start","1","",41
"stop","1","",42
"start","1","",43
"stop","1","",44
"start","1","",45
"stop","1","",46
"start","1","",47
"stop","1","",49
"start","1","above",50
"stop","1","",51
"start","1","above",52
"stop","1","",53
"start","1","",54
"stop","1","",56
"start","1","above",57
"stop","1","",58
"start","1","",59
"stop","1","",60
"start","1","",61
"stop","1","",62
"start","1","",63
"stop","1","",64
"start","1","",65
"stop","1","",66
"start","1","",67
"stop","1","",68
"start","1","",69
"stop","1","",70
"start","1","",71
"stop","1","",72
"start","1","",73
"stop","1","",74
"start","1","",75
"stop","1","",76
"start","1","",77
"stop","1","",78
"start","1","",79
"stop","1","",80
